DN,DN2,D_o,Sch5s,Sch10s,Sch10,Sch20,Sch30,Sch40s,Sch40,Sch60,Sch60s,Sch80,Sch100,Sch120,Sch140,Sch160
6,"1/8""",10.2,1,1.2,-,-,-,1.8,1.8,-,2.3,2.3,-,-,-,-
8,"1/4""",13.5,1.2,1.6,-,-,-,1.8,2.3,-,2.9,2.9,-,-,-,-
10,"3/8""",17.2,1.2,1.6,-,-,-,2.3,2.3,-,3.2,3.2,-,-,-,-
15,"1/2""",21.3,1.6,2,-,-,-,2.9,2.9,-,3.6,3.6,-,-,-,4.5
20,"3/4""",26.9,1.6,2,-,-,-,2.9,2.9,-,4,4,-,-,-,5.6
25,"1""",33.7,1.6,2.9,-,-,-,3.2,3.2,-,4.5,4.5,-,-,-,6.3
32,"1 1/4""",42.4,1.6,2.9,-,-,-,3.6,3.6,-,5,5,-,-,-,6.3
40,"1 1/2""",48.3,1.6,2.9,-,-,-,3.6,3.6,-,5,5,-,-,-,7.1
50,"2""",60.3,1.6,2.9,-,3.2,-,4,4,-,5.6,5.6,-,-,-,8.8
65,"2 1/2""",76.1,2,3.2,-,4.5,-,5,5,-,7.1,7.1,-,-,-,10
80,"3""",88.9,2,3.2,-,4.5,-,5.6,5.6,-,8,8,-,-,-,11
100,"4""",114.3,2,3.2,-,5,-,6.3,6.3,-,8.8,8.8,-,11,-,14.2
125,"5""",139.7,2.9,3.6,-,5,-,6.3,6.3,-,10,10,-,12.5,-,16
150,"6""",168.3,2.9,3.6,-,5.6,-,7.1,7.1,-,11,11,-,14.2,-,17.5
200,"8""",219.1,2.9,4,-,6.3,7.1,8,8,10,12.5,12.5,16,17.5,20,22.2
250,"10""",273,3.6,4,-,6.3,8,8.8,8.8,12.5,12.5,16,17.5,22.2,25,28
300,"12""",323.9,4,4.5,-,6.3,8.8,10,10,14.2,12.5,17.5,22.2,25,28,32
350,"14""",355.6,4,5,6.3,8,10,10,11,16,12.5,20,25,28,32,36
400,"16""",406.4,4,5,6.3,8,10,10,12.5,17.5,12.5,22.2,28,30,36,40
450,"18""",457,4,5,6.3,8,11,10,14.2,20,12.5,25,30,36,40,45
500,"20""",508,5,5.6,6.3,10,12.5,10,16,20,12.5,28,32,40,45,50
550,"22""",559,5,5.6,6.3,10,12.5,10,â€•,25,12.5,28,36,40,50,55
600,"24""",610,5.6,6.3,6.3,10,14.2,10,17.5,25,12.5,32,40,45,55,60
