,PN,DN,A1_A,A1_B,D,K,L,n,Th,C,B1_A,B1_B,G,H_d,B2_A,B2_B,F,f1,f2,f3,W,X,Y,Z,PJ_m_kg,RJ_m_kg
0,6,10,17.2,14,75,50,11,4,M10,12,21,18,3,35,18.0,15,10,2,4.5,4.0,24,34,35,23,0.5,0.06
1,6,15,21.3,18,80,55,11,4,M10,12,25,22,3,40,22.5,19,10,2,4.5,4.0,29,39,40,28,0.5,0.07
2,6,20,26.9,25,90,65,11,4,M10,14,31,29,4,50,27.5,26,10,2,4.5,4.0,36,50,51,35,0.57,0.11
3,6,25,33.7,32,100,75,11,4,M10,14,38,36,4,60,34.5,33,10,2,4.5,4.0,43,57,58,42,0.5,0.15
4,6,32,42.4,38,120,90,14,4,M12,16,46,42,5,70,43.5,39,10,2,4.5,4.0,51,65,66,50,1.0,0.19
5,6,40,48.3,45,130,100,14,4,M12,16,53,50,5,80,49.5,46,10,2,4.5,4.0,61,75,76,60,1.5,0.24
6,6,50,60.3,57,140,110,14,4,M12,16,65,62,5,90,61.5,59,12,2,4.5,4.0,73,87,88,72,1.5,0.32
7,6,65,76.1,76,160,130,14,4,M12,16,81,81,6,110,77.5,78,12,2,4.5,4.0,95,109,110,94,2.0,0.45
8,6,80,88.9,89,190,150,18,4,M16,18,94,94,6,128,90.5,91,12,2,4.5,4.0,106,120,121,105,3.0,0.61
9,6,100,114.3,108,210,170,18,4,M16,18,120,114,6,148,116.0,110,14,2,5.0,4.5,129,149,150,128,3.0,0.73
10,6,125,139.7,133,240,200,18,8,M16,20,145,139,6,178,143.5,135,14,2,5.0,4.5,155,175,176,154,4.0,0.96
11,6,150,168.3,159,265,225,18,8,M16,20,174,165,6,202,170.5,161,14,2,5.0,4.5,183,203,204,182,4.5,1.01
12,6,200,219.1,219,320,280,18,8,M16,22,226,226,6,258,221.5,222,16,2,5.0,4.5,239,259,260,238,6.5,1.73
13,6,250,273.0,273,375,335,18,12,M16,24,281,281,8,312,276.5,276,18,2,5.0,4.5,292,312,313,291,8.5,2.32
14,6,300,323.9,325,440,395,22,12,M20,24,333,334,8,365,328.0,328,18,2,5.0,4.5,343,363,364,342,11.5,2.77
15,6,350,355.6,377,490,445,22,12,M20,26,365,386,8,415,360.0,381,18,2,5.5,5.0,395,421,422,394,16.0,4.73
16,6,400,406.4,426,540,495,22,16,M20,28,416,435,8,465,411.0,430,20,2,5.5,5.0,447,473,478,446,19.0,5.83
17,6,450,457.0,480,595,550,22,16,M20,30,467,490,8,520,462.0,485,20,2,5.5,5.0,497,523,524,496,23.5,7.02
18,6,500,508.0,530,645,600,22,20,M20,30,519,541,8,570,513.5,535,22,2,5.5,5.0,549,575,576,548,25.5,8.3
19,6,600,610.0,630,755,705,26,20,M24,32,622,642,8,670,616.5,636,22,2,5.5,5.0,649,675,676,648,33.5,9.34
20,10,10,17.2,14,90,60,14,4,M12,14,21,18,3,40,18.0,15,12,2,4.5,4.0,24,34,35,23,0.5,0.09
21,10,15,21.3,18,95,65,14,4,M12,14,25,22,3,45,22.5,19,12,2,4.5,4.0,29,39,40,28,0.5,0.11
22,10,20,26.9,25,105,75,14,4,M12,16,31,29,4,58,27.5,26,14,2,4.5,4.0,36,50,51,35,1.0,0.23
23,10,25,33.7,32,115,85,14,4,M12,16,38,36,4,68,34.5,33,14,2,4.5,4.0,43,57,58,42,1.0,0.3
24,10,32,42.4,38,140,100,18,4,M16,18,46,42,5,78,43.5,39,14,2,4.5,4.0,51,65,66,50,2.0,0.36
25,10,40,48.3,45,150,110,18,4,M16,18,53,50,5,88,49.5,46,14,2,4.5,4.0,61,75,76,60,2.0,0.46
26,10,50,60.3,57,165,125,18,4,M16,19,65,62,5,102,61.5,59,16,2,4.5,4.0,73,87,88,72,2.5,0.65
27,10,65,76.1,76,185,145,18,8,M16,20,81,81,6,122,77.5,78,16,2,4.5,4.0,95,109,110,94,3.0,0.88
28,10,80,88.9,89,200,160,18,8,M16,20,94,94,6,138,90.5,91,16,2,4.5,4.0,106,120,121,105,3.5,1.07
29,10,100,114.3,108,220,180,18,8,M16,22,120,114,6,158,116.0,110,18,2,5.0,4.5,129,149,150,128,4.5,1.28
30,10,125,139.7,133,250,210,18,8,M16,22,145,139,6,188,143.5,135,18,2,5.0,4.5,155,175,176,154,5.5,1.64
31,10,150,168.3,159,285,240,22,8,M20,24,174,165,6,212,170.5,161,20,2,5.0,4.5,183,203,204,182,7.0,1.96
32,10,200,219.1,219,340,295,22,8,M20,24,226,226,6,268,221.5,222,20,2,5.0,4.5,239,259,260,238,9.0,2.81
33,10,250,273.0,273,395,350,22,12,M20,26,281,281,8,320,276.5,276,22,2,5.0,4.5,292,312,313,291,11.5,3.52
34,10,300,323.9,325,445,400,22,12,M20,26,333,334,8,370,328.0,328,22,2,5.0,4.5,343,363,364,342,13.0,3.89
35,10,350,355.6,377,505,460,22,16,M20,28,365,386,8,430,360.0,381,22,2,5.5,5.0,395,421,422,394,19.5,7.5
36,10,400,406.4,426,565,515,26,16,M24,32,416,435,8,482,411.0,430,24,2,5.5,5.0,447,473,478,446,26.5,9.38
37,10,450,457.0,480,615,565,26,20,M24,36,467,490,8,532,462.0,485,24,2,5.5,5.0,497,523,524,496,32.5,10.3
38,10,500,508.0,530,670,620,26,20,M24,38,519,541,8,585,513.5,535,26,2,5.5,5.0,549,575,576,548,39.0,12.59
39,10,600,610.0,630,780,725,30,20,M27,42,622,642,8,685,616.5,636,26,2,5.5,5.0,649,675,676,648,52.5,14.29
40,16,10,17.2,14,90,60,14,4,M12,14,21,18,3,40,18.0,15,12,2,4.5,4.0,24,34,35,23,0.5,0.5
41,16,15,21.3,18,95,65,14,4,M12,14,25,22,3,45,22.5,19,12,2,4.5,4.0,29,39,40,28,0.5,0.5
42,16,20,26.9,25,105,75,14,4,M12,16,31,29,4,58,27.5,26,14,2,4.5,4.0,36,50,51,35,1.0,0.5
43,16,25,33.7,32,115,85,14,4,M12,16,38,36,4,68,34.5,33,14,2,4.5,4.0,43,57,58,42,1.0,0.5
44,16,32,42.4,38,140,100,18,4,M16,18,46,42,5,78,43.5,39,14,2,4.5,4.0,51,65,66,50,2.0,0.5
45,16,40,48.3,45,150,110,18,4,M16,18,53,50,5,88,49.5,46,14,2,4.5,4.0,61,75,76,60,2.0,0.5
46,16,50,60.3,57,165,125,18,4,M16,19,65,62,5,102,61.5,59,16,2,4.5,4.0,73,87,88,72,2.5,1.0
47,16,65,76.1,76,185,145,18,8,M16,20,81,81,6,122,77.5,78,16,2,4.5,4.0,95,109,110,94,3.0,1.0
48,16,80,88.9,89,200,160,18,8,M16,20,94,94,6,138,90.5,91,16,2,4.5,4.0,106,120,121,105,3.5,1.0
49,16,100,114.3,108,220,180,18,8,M16,22,120,114,6,158,116.0,110,18,2,5.0,4.5,129,149,150,128,4.5,1.5
50,16,125,139.7,133,250,210,18,8,M16,22,145,139,6,188,143.5,135,18,2,5.0,4.5,155,175,176,154,5.5,1.5
51,16,150,168.3,159,285,240,22,8,M20,24,174,165,6,212,170.5,161,20,2,5.0,4.5,183,203,204,182,7.0,2.0
52,16,200,219.1,219,340,295,22,12,M20,26,226,226,6,268,221.5,222,20,2,5.0,4.5,239,259,260,238,9.5,3.0
53,16,250,273.0,273,405,355,26,12,M24,29,281,281,8,320,276.5,276,22,2,5.0,4.5,292,312,313,291,14.0,3.5
54,16,300,323.9,325,460,410,26,12,M24,32,333,334,8,378,328.0,328,24,2,5.0,4.5,343,363,364,342,18.5,5.5
55,16,350,355.6,377,520,470,26,16,M24,35,365,386,8,428,360.0,381,26,2,5.5,5.0,395,421,422,394,27.5,10.0
56,16,400,406.4,426,580,525,30,16,M27,38,416,435,8,490,411.0,430,28,2,5.5,5.0,447,473,478,446,35.0,12.5
57,16,450,457.0,480,640,585,30,20,M27,42,467,490,8,550,462.0,485,30,2,5.5,5.0,497,523,524,496,45.0,16.5
58,16,500,508.0,530,715,650,33,20,M30,46,519,541,8,610,513.5,535,32,2,5.5,5.0,549,575,576,548,65.0,21.5
59,16,600,610.0,630,840,770,36,20,M33,52,622,642,8,725,616.5,636,32,2,5.5,5.0,649,675,676,648,94.0,28.5
