,PN,DN,A1,D,K,L,n,Th,C,N,R,H,T,V,LW,m_kg,RF_d,RF_f1,LSR,LZR,LZJ
0,6,10,17.2,75,50,11,4,M10,12,25,4,20,-,-,"Rc/Rp/NPT_3/8""",0.5,35,2,40,55,-
1,6,15,21.3,80,55,11,4,M10,12,30,4,20,-,-,"Rc/Rp/NPT_1/2""",0.5,40,2,40,55,-
2,6,20,26.9,90,65,11,4,M10,14,40,4,24,-,-,"Rc/Rp/NPT_3/4""",0.5,50,2,45,60,-
3,6,25,33.7,100,75,11,4,M10,14,50,4,24,-,-,"Rc/Rp/NPT_1""",0.5,60,2,45,60,-
4,6,32,42.4,120,90,14,4,M12,14,60,6,26,-,-,"Rc/Rp/NPT_1_1/4""",0.5,70,2,50,65,-
5,6,40,48.3,130,100,14,4,M12,14,70,6,26,-,-,"Rc/Rp/NPT_1_1/2""",0.5,80,2,50,65,-
6,6,50,60.3,140,110,14,4,M12,14,80,6,28,-,-,"Rc/Rp/NPT_2""",0.5,90,2,50,65,-
7,6,65,76.1,160,130,14,4,M12,14,100,6,32,-,-,"Rc/Rp/NPT_2_1/2""",0.5,110,2,50,65,-
8,6,80,88.9,190,150,18,4,M16,16,110,8,34,-,-,"Rc/Rp/NPT_3""",0.5,128,2,55,80,-
9,6,100,114.3,210,170,18,4,M16,16,130,8,40,-,-,"Rc/Rp/NPT_4""",1,148,2,55,80,-
10,6,125,139.7,240,200,18,8,M16,18,160,8,44,-,-,"Rc/Rp/NPT_5""",1,178,2,60,85,-
11,6,150,168.3,265,225,18,8,M16,18,185,10,44,-,-,"Rc/Rp/NPT_6""",1,202,2,60,85,-
12,10,10,17.2,90,60,14,4,M12,16,30,4,22,-,-,"Rc/Rp/NPT_3/8""",0.5,40,2,50,70,-
13,10,15,21.3,95,65,14,4,M12,16,35,4,22,-,-,"Rc/Rp/NPT_1/2""",0.5,45,2,50,70,-
14,10,20,26.9,105,75,14,4,M12,18,45,4,26,-,-,"Rc/Rp/NPT_3/4""",1,58,2,55,75,-
15,10,25,33.7,115,85,14,4,M12,18,52,4,28,-,-,"Rc/Rp/NPT_1""",1.5,68,2,55,75,-
16,10,32,42.4,140,100,18,4,M16,18,60,6,30,-,-,"Rc/Rp/NPT_1_1/4""",2,78,2,60,85,-
17,10,40,48.3,150,110,18,4,M16,18,70,6,32,-,-,"Rc/Rp/NPT_1_1/2""",2,88,2,60,85,-
18,10,50,60.3,165,125,18,4,M16,18,84,5,28,-,-,"Rc/Rp/NPT_2""",2.5,102,2,60,85,-
19,10,65,76.1,185,145,18,8,M16,18,104,6,32,-,-,"Rc/Rp/NPT_2_1/2""",3,122,2,60,85,-
20,10,80,88.9,200,160,18,8,M16,20,118,6,34,-,-,"Rc/Rp/NPT_3""",4,138,2,65,90,-
21,10,100,114.3,220,180,18,8,M16,20,140,8,40,-,-,"Rc/Rp/NPT_4""",4.5,158,2,65,90,-
22,10,125,139.7,250,210,18,8,M16,22,168,8,44,-,-,"Rc/Rp/NPT_5""",6.5,188,2,70,95,-
23,10,150,168.3,285,240,22,8,M20,22,195,10,44,-,-,"Rc/Rp/NPT_6""",7.5,212,2,75,105,-
24,16,10,17.2,90,60,14,4,M12,16,30,4,22,-,-,"Rc/Rp/NPT_3/8""",0.5,40,2,50,70,-
25,16,15,21.3,95,65,14,4,M12,16,35,4,22,-,-,"Rc/Rp/NPT_1/2""",0.5,45,2,50,70,-
26,16,20,26.9,105,75,14,4,M12,18,45,4,26,-,-,"Rc/Rp/NPT_3/4""",1,58,2,55,75,-
27,16,25,33.7,115,85,14,4,M12,18,52,4,28,-,-,"Rc/Rp/NPT_1""",1.5,68,2,55,75,-
28,16,32,42.4,140,100,18,4,M16,18,60,6,30,-,-,"Rc/Rp/NPT_1_1/4""",2,78,2,60,85,-
29,16,40,48.3,150,110,18,4,M16,18,70,6,32,-,-,"Rc/Rp/NPT_1_1/2""",2,88,2,60,85,-
30,16,50,60.3,165,125,18,4,M16,18,84,5,28,-,-,"Rc/Rp/NPT_2""",2.5,102,2,60,85,-
31,16,65,76.1,185,145,18,8,M16,18,104,6,32,-,-,"Rc/Rp/NPT_2_1/2""",3,122,2,60,85,-
32,16,80,88.9,200,160,18,8,M16,20,118,6,34,-,-,"Rc/Rp/NPT_3""",4,138,2,65,90,-
33,16,100,114.3,220,180,18,8,M16,20,140,8,40,-,-,"Rc/Rp/NPT_4""",4.5,158,2,65,90,-
34,16,125,139.7,250,210,18,8,M16,22,168,8,44,-,-,"Rc/Rp/NPT_5""",6.5,188,2,70,95,-
35,16,150,168.3,285,240,22,8,M20,22,195,10,44,-,-,"Rc/Rp/NPT_6""",7.5,212,2,75,105,-
36,25,10,17.2,90,60,14,4,M12,16,30,4,22,-,-,"Rc/Rp/NPT_3/8""",0.5,40,2,-,70,-
37,25,15,21.3,95,65,14,4,M12,16,35,4,22,-,-,"Rc/Rp/NPT_1/2""",0.5,45,2,-,70,-
38,25,20,26.9,105,75,14,4,M12,18,45,4,26,-,-,"Rc/Rp/NPT_3/4""",1,58,2,-,75,-
39,25,25,33.7,115,85,14,4,M12,18,52,4,28,-,-,"Rc/Rp/NPT_1""",1.5,68,2,-,75,-
40,25,32,42.4,140,100,18,4,M16,18,60,6,30,-,-,"Rc/Rp/NPT_1_1/4""",2,78,2,-,85,-
41,25,40,48.3,150,110,18,4,M16,18,70,6,32,-,-,"Rc/Rp/NPT_1_1/2""",2,88,2,-,85,-
42,25,50,60.3,165,125,18,4,M16,20,84,6,34,-,-,"Rc/Rp/NPT_2""",3,102,2,-,90,-
43,25,65,76.1,185,145,18,8,M16,22,104,6,38,-,-,"Rc/Rp/NPT_2_1/2""",4,122,2,-,95,-
44,25,80,88.9,200,160,18,8,M16,24,118,8,40,-,-,"Rc/Rp/NPT_3""",4.5,138,2,-,95,-
45,25,100,114.3,235,190,22,8,M20,24,145,8,44,-,-,"Rc/Rp/NPT_4""",6.5,162,2,-,105,-
46,25,125,139.7,270,220,26,8,M24,26,170,8,48,-,-,"Rc/Rp/NPT_5""",8.5,188,2,-,120,-
47,25,150,168.3,300,250,26,8,M24,28,200,10,52,-,-,"Rc/Rp/NPT_6""",11,218,2,-,125,-
48,40,10,17.2,90,60,14,4,M12,16,30,4,22,-,-,"Rc/Rp/NPT_3/8""",0.5,40,2,-,70,-
49,40,15,21.3,95,65,14,4,M12,16,35,4,22,-,-,"Rc/Rp/NPT_1/2""",0.5,45,2,-,70,-
50,40,20,26.9,105,75,14,4,M12,18,45,4,26,-,-,"Rc/Rp/NPT_3/4""",1,58,2,-,75,-
51,40,25,33.7,115,85,14,4,M12,18,52,4,28,-,-,"Rc/Rp/NPT_1""",1.5,68,2,-,75,-
52,40,32,42.4,140,100,18,4,M16,18,60,6,30,-,-,"Rc/Rp/NPT_1_1/4""",2,78,2,-,85,-
53,40,40,48.3,150,110,18,4,M16,18,70,6,32,-,-,"Rc/Rp/NPT_1_1/2""",2,88,2,-,85,-
54,40,50,60.3,165,125,18,4,M16,20,84,6,34,-,-,"Rc/Rp/NPT_2""",3,102,2,-,90,-
55,40,65,76.1,185,145,18,8,M16,22,104,6,38,-,-,"Rc/Rp/NPT_2_1/2""",4,122,2,-,95,-
56,40,80,88.9,200,160,18,8,M16,24,118,8,40,-,-,"Rc/Rp/NPT_3""",4.5,138,2,-,95,-
57,40,100,114.3,235,190,22,8,M20,24,145,8,44,-,-,"Rc/Rp/NPT_4""",6.5,162,2,-,105,-
58,40,125,139.7,270,220,26,8,M24,26,170,8,48,-,-,"Rc/Rp/NPT_5""",8.5,188,2,-,120,-
59,40,150,168.3,300,250,26,8,M24,28,200,10,52,-,-,"Rc/Rp/NPT_6""",11,218,2,-,125,-
